L1_in,L2_in,L3_in,L4_in,f0_GHz,BW3dB_GHz,IL_dB,RL_worst_dB,RL_avg_dB,status,error
-0.5259880490451452,0.6970692621509883,-1.5172629470162562,1.6726834433808175,1.492,0.016375522226716344,98.34794199576437,8.972498412922332e-07,2.2298535607475092e-06,OK,
-0.5798955418741936,0.6996272164119294,-1.0118004809177312,0.9032181440079767,2.332,0.0035434746808422624,48.21829035928815,-0.006594722779153449,-0.006594722779153449,OK,
-0.6680489488725865,1.4493908520277738,-1.6019201946658759,0.7563114467308156,1.404,0.031383475934442684,0.09361457253913434,3.4163367678978225,10.499375607859651,OK,
-0.5998976442541102,1.4203666234471053,-1.2589373327629163,1.43237071951362,1.608,0.02080988552614449,0.021752082879105628,3.8677564381404617,9.76757948240512,OK,
-1.546950972035666,1.7550666241112014,-1.5150377726842237,0.7693443808115178,1.984,0.26857238474997613,13.451662680953202,0.10092964933151058,0.15392644317796597,OK,
-0.9700585509498657,1.7947571322713942,-1.566649702434924,0.9871542927525967,1.816,0.08012306466761165,2.1861770063673553,1.6037712935338009,2.9902668802137713,OK,
-0.6717236038414724,0.9496356228679171,-1.5212874561225223,1.5140053552720283,1.864,0.0008573773246309813,6.129369443818966,0.3919614215808084,0.3919614215808084,OK,
-1.3877178834597432,0.5934094334700407,-1.2582347046394378,1.5026635881223884,1.764,0.004940142243663015,0.07231801748180236,17.821422807910114,17.821422807910114,OK,
-1.5232095887233799,1.7858435933584365,-1.2555921638829917,0.9768541362359525,2.204,0.11039804530049402,0.015859105542233888,3.0248205501218433,12.817928471385555,OK,
-0.7269091222226923,0.7677303305089327,-1.1088568031481496,1.32754036317414,2.4,0.0008615089071914994,23.628171608432694,0.01887602787479892,0.01887602787479892,OK,
-0.9373645495336579,1.7569685066024876,-1.5500728722465167,0.7612840116260633,1.884,0.06965536997988164,5.740771205271336,0.6334988156453873,1.0375391037089314,OK,
-0.5327092184606985,0.9650532244048213,-1.6964312752594888,1.5590486150609673,2.108,0.035606391874954735,58.98874077622911,0.0002619199142351053,0.0003212628970351157,OK,
-0.9876911062470034,1.4545450720157649,-1.808124084783315,1.02617650000485,1.252,0.04720711737070782,0.04564331934421296,4.715072409375996,12.483347005173385,OK,
